SIZE,CICLOS,NOPES,SIZE,CPI,SIZE,FADD,FSLT,FJR,FADDU,FSLL,FLW,FSW,FADDI,FBEQ,FBNE,FSLTI,FJ,FJAL,SIZE,FBRANCH,SIZE,CIH,SIZE,CDH,SIZE,MEMACC,CIACC,CDACC
4,213,120,4,2.2903,4,0.0,3.2258,0.0,0.0,3.2258,6.4516,0.0,60.2151,8.6022,4.3011,9.6774,4.3011,0.0,4,0.5625,4,0.9839,4,0.8571,4,12,124,7
8,605,278,8,1.8502,8,0.0,6.1162,3.9755,0.0,6.1162,12.2324,7.9511,28.7462,8.8685,6.422,9.1743,6.422,3.9755,8,0.5773,8,0.9961,8,0.9851,8,12,516,67
12,1151,504,12,1.779,12,0.0,6.4915,5.1005,0.0,6.4915,12.983,10.2009,22.2566,8.5008,6.9552,8.9645,6.9552,5.1005,12,0.5877,12,0.9981,12,0.9934,12,12,1062,151
16,1656,711,16,1.7524,16,0.0,6.6667,5.3968,0.0,6.6667,13.3333,10.7937,20.2116,8.4656,7.0899,8.8889,7.0899,5.3968,16,0.5886,16,0.9987,16,0.9956,16,12,1567,229
20,3365,1399,20,1.7116,20,0.0,6.765,5.9512,0.0,6.765,15.8189,11.9023,17.0397,7.8332,6.9685,8.0366,6.9685,5.9512,20,0.5921,20,0.9994,20,0.996,20,16,3276,502
24,3222,1336,24,1.7084,24,0.0,6.7338,5.7264,0.0,6.7338,15.8537,11.4528,17.3913,8.0594,6.9989,8.3245,6.9989,5.7264,24,0.5902,24,0.9994,24,0.9958,24,16,3133,472
28,4763,1967,28,1.7035,28,0.0,6.9385,6.0086,0.0,6.9385,15.4864,12.0172,16.5594,7.9757,7.01,8.0472,7.01,6.0086,28,0.5899,28,0.9996,28,0.9972,28,16,4674,726
32,7503,3111,32,1.7083,32,0.0,6.9672,6.3752,0.0,6.9672,14.959,12.7505,15.8242,7.7186,7.1038,7.8552,7.1038,6.3752,32,0.5942,32,0.9997,32,0.9983,32,16,7414,1174
36,9658,3981,36,1.7013,36,0.0,6.9755,6.4118,0.0,6.9755,15.5364,12.8237,15.4483,7.6273,7.046,7.6977,7.046,6.4118,36,0.5941,36,0.9998,36,0.998,36,20,9569,1523
40,10242,4219,40,1.7005,40,0.0,6.9899,6.3922,0.0,6.9899,15.474,12.7843,15.4574,7.6706,7.0563,7.737,7.0563,6.3922,40,0.5937,40,0.9998,40,0.9981,40,20,10153,1615
44,13723,5666,44,1.7032,44,0.0,7.0249,6.5409,0.0,7.0249,15.1669,13.0818,15.2166,7.5835,7.087,7.6455,7.087,6.5409,44,0.5949,44,0.9999,44,0.9986,44,20,13634,2189
48,14163,5844,48,1.7025,48,0.0,7.0321,6.5152,0.0,7.0321,15.1461,13.0304,15.2422,7.6211,7.0922,7.6812,7.0922,6.5152,48,0.5945,48,0.9999,48,0.9987,48,20,14074,2257
52,17439,7183,52,1.7004,52,0.0,7.03,6.562,0.0,7.03,15.3764,13.124,15.0449,7.5468,7.069,7.5858,7.069,6.562,52,0.595,52,0.9999,52,0.9986,52,24,17350,2792
56,20416,8420,56,1.7019,56,0.0,7.044,6.6189,0.0,7.044,15.2134,13.2377,14.9717,7.5192,7.0857,7.5609,7.0857,6.6189,56,0.5955,56,0.9999,56,0.9988,56,24,20327,3282
60,21974,9060,60,1.7016,60,0.0,7.0621,6.6207,0.0,7.0621,15.1696,13.2414,14.9605,7.5345,7.0853,7.5577,7.0853,6.6207,60,0.5952,60,0.9999,60,0.9989,60,24,21885,3538
64,22308,9190,64,1.7006,64,0.0,7.0742,6.594,0.0,7.0742,15.1776,13.188,14.987,7.5698,7.0819,7.5774,7.0819,6.594,64,0.5946,64,0.9999,64,0.9989,64,24,22219,3590
68,28203,11626,68,1.7013,68,0.0,7.064,6.6719,0.0,7.064,15.2139,13.3438,14.8278,7.4802,7.0821,7.4983,7.0821,6.6719,68,0.5957,68,0.9999,68,0.9989,68,28,28114,4559
72,36806,15211,72,1.7044,72,0.0,7.0757,6.7701,0.0,7.0757,14.985,13.5402,14.721,7.4138,7.1035,7.4415,7.1035,6.7701,72,0.5967,72,0.9999,72,0.9992,72,28,36717,5985
76,34678,14319,76,1.7033,76,0.0,7.073,6.7292,0.0,7.073,15.0302,13.4584,14.7699,7.4513,7.1025,7.4807,7.1025,6.7292,76,0.5963,76,0.9999,76,0.9991,76,28,34589,5625
80,38334,15837,80,1.704,80,0.0,7.0809,6.752,0.0,7.0809,14.962,13.504,14.7442,7.441,7.1076,7.4677,7.1076,6.752,80,0.5965,80,0.9999,80,0.9992,80,28,38245,6229
84,41771,17245,84,1.7031,84,0.0,7.0741,6.7561,0.0,7.0741,15.0656,13.5122,14.6987,7.4207,7.0986,7.4452,7.0986,6.7561,84,0.5966,84,1.0,84,0.9991,84,32,41682,6790
88,47107,19463,88,1.7041,88,0.0,7.0829,6.7863,0.0,7.0829,14.9797,13.5726,14.6686,7.4049,7.1046,7.4266,7.1046,6.7863,88,0.5968,88,1.0,88,0.9992,88,32,47018,7674
92,59029,24429,92,1.706,92,0.0,7.0925,6.8497,0.0,7.0925,14.8353,13.6994,14.604,7.3613,7.1156,7.3844,7.1156,6.8497,92,0.5974,92,1.0,92,0.9994,92,32,58940,9654
96,56363,23309,96,1.7052,96,0.0,7.0945,6.8222,0.0,7.0945,14.8696,13.6443,14.6336,7.3879,7.1126,7.4061,7.1126,6.8222,96,0.597,96,1.0,96,0.9993,96,32,56274,9206
100,67158,27779,100,1.7054,100,0.0,7.0977,6.8539,0.0,7.0977,14.881,13.7078,14.5738,7.3542,7.1078,7.3643,7.1078,6.8539,100,0.5973,100,1.0,100,0.9994,100,36,67069,10995
104,67533,27928,104,1.7052,104,0.0,7.1001,6.8451,0.0,7.1001,14.882,13.6902,14.584,7.3652,7.1077,7.3728,7.1077,6.8451,104,0.5972,104,1.0,104,0.9994,104,36,67444,11053
108,74007,30624,108,1.7059,108,0.0,7.1019,6.8644,0.0,7.1019,14.8261,13.7289,14.5679,7.3531,7.1134,7.3646,7.1134,6.8644,108,0.5974,108,1.0,108,0.9994,108,36,73918,12125
112,79185,32780,112,1.7064,112,0.0,7.1027,6.8764,0.0,7.1027,14.7872,13.7528,14.5588,7.3462,7.1178,7.3613,7.1178,6.8764,112,0.5975,112,1.0,112,0.9995,112,36,79096,12981
116,83452,34530,116,1.7058,116,0.0,7.1011,6.8742,0.0,7.1011,14.8461,13.7484,14.5415,7.3403,7.1113,7.3505,7.1113,6.8742,116,0.5975,116,1.0,116,0.9994,116,40,83363,13682
